epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,330.735,0.78029,0.50145,0.9331,0.96892,0.94253,0.97258,0.72517,0.87384,0.48402,0.99576,0.0003962,0.0003962,0.0003962
83,334.732,0.76742,0.49768,0.91816,0.94808,0.95019,0.97327,0.72663,0.86907,0.46764,0.98951,0.0003764,0.0003764,0.0003764
84,338.861,0.72929,0.48252,0.90877,0.95734,0.94253,0.9749,0.73439,0.86086,0.4724,0.9795,0.0003566,0.0003566,0.0003566
85,343.103,0.73946,0.48732,0.91253,0.96442,0.95019,0.97468,0.73808,0.86672,0.4714,0.98292,0.0003368,0.0003368,0.0003368
86,347.242,0.73002,0.49033,0.90488,0.94308,0.95226,0.97479,0.73202,0.86971,0.46583,0.98296,0.000317,0.000317,0.000317
87,351.351,0.74096,0.48161,0.92404,0.96647,0.94636,0.97693,0.7368,0.853,0.46501,0.97811,0.0002972,0.0002972,0.0002972
88,355.56,0.71118,0.47032,0.90014,0.9608,0.93921,0.97312,0.72665,0.86957,0.47219,0.99805,0.0002774,0.0002774,0.0002774
89,359.645,0.73427,0.48527,0.92025,0.95704,0.93893,0.97192,0.72757,0.86234,0.46587,0.987,0.0002576,0.0002576,0.0002576
90,363.695,0.73557,0.48603,0.91178,0.97991,0.9345,0.97343,0.73181,0.86015,0.47201,0.99235,0.0002378,0.0002378,0.0002378
91,381.857,0.63913,0.40401,0.86476,0.96435,0.94253,0.97457,0.72863,0.90382,0.47644,1.00613,0.000218,0.000218,0.000218
92,386.009,0.63167,0.38405,0.86761,0.98387,0.94253,0.9689,0.72747,0.88849,0.46695,0.99758,0.0001982,0.0001982,0.0001982
93,389.983,0.62033,0.38868,0.87296,0.97478,0.95019,0.97183,0.72417,0.88476,0.47544,1.00044,0.0001784,0.0001784,0.0001784
94,394.183,0.62268,0.3828,0.87355,0.96489,0.94757,0.97029,0.73232,0.87617,0.46821,0.99181,0.0001586,0.0001586,0.0001586
95,398.329,0.60992,0.37663,0.87612,0.97239,0.95019,0.96979,0.7271,0.86819,0.47081,0.98833,0.0001388,0.0001388,0.0001388
96,402.532,0.60754,0.3848,0.86213,0.96279,0.95402,0.96993,0.7313,0.86145,0.47304,0.99101,0.000119,0.000119,0.000119
97,406.737,0.60161,0.3705,0.85993,0.96995,0.95402,0.97038,0.72506,0.87005,0.46869,0.9984,9.92e-05,9.92e-05,9.92e-05
98,411.087,0.5988,0.37099,0.85892,0.97626,0.94516,0.96931,0.72989,0.87421,0.46997,1.00718,7.94e-05,7.94e-05,7.94e-05
99,415.185,0.58897,0.36572,0.85957,0.96648,0.95402,0.96997,0.73,0.87583,0.47106,1.00293,5.96e-05,5.96e-05,5.96e-05
100,419.199,0.58783,0.36501,0.86317,0.9687,0.94878,0.96975,0.72802,0.88139,0.4773,1.00823,3.98e-05,3.98e-05,3.98e-05
